Serie ID;#Season;#Episode;Episode title;Length (minutes);Synopsis
81022683;1;38;Episodio 38;46;Gracias a Yeimy, Zulma tiene una noticia que publicar. Los ánimos se caldean entre Charly y Juancho cuando negocian las condiciones de un concierto. Erik visita a Vanesa.
81022683;1;39;Episodio 39;46;Yeimy, Gema y Charly deciden cambiar el recinto del concierto. Erik e Irma conectan cada vez más. Vanesa se escapa de rehabilitación.
81022683;1;40;Episodio 40;46;Vanesa pone en un compromiso a Yeimy cuando le pide un favor. Cata se sincera con su madre sobre Juancho. Charly se involucra de nuevo en los negocios de Manín.
81022683;1;41;Episodio 41;46;Cris Vega recibe una desagradable sorpresa. Erik y Charly ensayan antes del concierto. Yeimy ayuda a Gema a buscar un detective privado para investigar a su marido.
81022683;1;42;Episodio 42;45;Yeimy convence a Vanesa de que hable con su padre. El día del concierto, Irma ayuda a Erik a lidiar con los nervios. Charly recibe una sorpresa al llegar al recinto.
81022683;1;43;Episodio 43;45;Vanesa lleva a Ruko a visitar a su padre entre bambalinas. Axl descubre que Juancho deja entrar a menores al evento. Erik invita a una persona al escenario.
81022683;1;44;Episodio 44;46;Tras el sabotaje en el concierto, Erik se afana por recuperarse. Vanesa escucha a sus padres hablar sobre Ruko. El detective privado de Gema sigue a Charly.
81022683;1;45;Episodio 45;45;Cata decide estar más pendiente de Juancho. Las fotos del detective perturban a Yeimy. Vanesa descubre las drogas de Ruko. Zulma publica la entrevista con Cris Vega.
81022683;1;46;Episodio 46;46;Yeimy decide intervenir cuando escucha a Charly y Gema negociar pacíficamente los términos de su divorcio. Vanesa recibe una visita. Erik le pide a Irma que sea su novia.
81022683;1;47;Episodio 47;46;Juancho, que no puede reprimir sus propios sentimientos, le pregunta a Yeimy si sigue enamorada de Charly. Vanesa sale con los amigos y se topa con Ruko.
81022683;1;48;Episodio 48;45;Irma firma un contrato. El detective privado saca fotos de Charly haciendo sus negocios turbios. La madre de Cata le dice a su hija cómo llenar el vacío de su matrimonio.
81022683;1;49;Episodio 49;45;Cata decide seguir el consejo de su madre. Juancho se queda atónito cuando Erik le cuenta sobre su madre biológica. Charly chantajea a Gema para conseguir lo que quiere.
81022683;1;50;Episodio 50;46;Juancho ayuda a Yeimy a procesar la noticia. Charly investiga el coche que lo sigue. Gema sale con una persona e intenta más tarde reunir pruebas contra Charly.
81022683;1;51;Episodio 51;46;Juancho le pide a Erik que no le pregunte a Charly sobre Yeimy Montoya. Yeimy pide una prueba de ADN. Gema reúne lo que necesita para enfrentarse a Charly.
81022683;1;52;Episodio 52;46;Vanesa tiene una charla con Pite. Lucio atrapa al detective privado. Cata descubre que Juancho le miente una vez más. Yeimy da un giro a su relación con Charly.
81022683;1;53;Episodio 53;46;Charly recibe malas noticias de don Edgar. Yeimy ayuda a Vanesa con Ruko. Cuando Gema le muestra a Charly las pruebas que lo incriminan, este decide que debe detenerla.
81022683;1;54;Episodio 54;46;Charly le pide a Lucio un favor. Yeimy atrapa a Ruko con ayuda de la DEA. Cata presiona a Juancho para que contrate a más artistas, incluido a Cris Vega.
81022683;1;55;Episodio 55;45;Tras saber que Gema va a trabajar hasta tarde en el estudio, Charly llama a Lucio. Cuando Vanesa hace cambiar a Gema de opinión sobre Charly, Yeimy juega su última baza.
81022683;1;56;Episodio 56;45;Yeimy le pide a Zulma que grabe su testimonio en vídeo. Pite, siguiendo su propia experiencia, aconseja a Vanesa. Juancho va tras Charly para ver con quién se encuentra.
81022683;1;57;Episodio 57;45;Erik duda de la versión de Charly. El nuevo novio de Gema irrumpe en un servicio religioso. Yeimy le pide a Juancho que recoja los resultados de la prueba de ADN.
81022683;1;58;Episodio 58;46;Axl revisa las imágenes de seguridad de Excelsior. Zulma publica el vídeo de Yeimy contando su versión de la historia. Cris Vega hace una audición para Juancho.
81022683;1;59;Episodio 59;46;Las dudas sobre su matrimonio atormentan a Juancho y Cata pasa más tiempo con Cris. La policía recibe los resultados del análisis. Erik y Yeimy colaboran en una canción.
81022683;1;60;Episodio 60;46;Con las pruebas de ADN en su contra, Charly se afana por ocultar las pistas. Pite intenta animar a Vanesa. Juancho descubre que Cata desea quedarse embarazada.
81022683;1;61;Episodio 61;46;Erik sigue a Irma a casa y descubre algo que lo dejará sorprendido. Pite le hace una confesión a Vanesa. Tomando unas copas, Cris consigue que Cata se sincere con él.
81022683;1;62;Episodio 62;45;La policía va tras Yeimy, quien tendrá que decidir si huye o se entrega. Erik descubre cómo averiguaron dónde se ocultaba Yeimy.
